Ticker,Year,Year_Int,COD_Year,Years_Since_COD,Pre_Post_COD,Revenue,EBIT,PAT,CapEx,Change_in_WC,Depreciation_Expense,Interest_Expense,Tax_Rate,Working_Capital,FCF,EBIT_Margin,Net_Profit_Margin,Debt_Ratio,Current_Ratio,ROA,ROE,Asset_Turnover,Interest_Burden,Revenue_Growth,EBIT_Growth,Revenue_Lag1,FCF_Lag1,Revenue_Growth_Lag1,Rolling3_Avg_Rev_Growth,Rolling3_Avg_Ebit_Margin,Installed_Capacity_MW,License_Issue_Year,License_Term_Years,PPA_Tariff_Wet,PPA_Tariff_Dry,PLF,GDP_Growth,Inflation,Interest_Rate,Total_IPP_Generation_GWh,Power_Import_From_India_GWh,National_Peak_Demand_MW,OperatingCashFlow_Proxy,Market_Cap,Total_Debt
AHL,2011/12,2011,2021.0,-10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,6.2,2076.0,36.0,4.8,8.4,0.0,3.4,9.6,10.43,453.89,2638.95,928.08,0.0,0.0,0.0
AHL,2012/13,2012,2021.0,-9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,4.8,8.3,12.4,628.81,2567.95,985.69,0.0,0.0,0.0
AHL,2013/14,2013,2021.0,-8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,4.128857037627179,9.9,11.473333333333333,680.85,2498.87,1046.87,0.0,0.0,0.0
AHL,2014/15,2014,2021.0,-7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,6.011482840807486,9.1,10.546666666666669,864.8,2431.64,1111.85,0.0,0.0,0.0
AHL,2015/16,2015,2021.0,-6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,3.976053273982289,7.21,9.62,1021.3,2366.22,1180.86,0.0,0.0,0.0
AHL,2016/17,2016,2021.0,-5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,0.43311371777683,9.92,8.86,1012.0,1778.0,1385.0,0.0,0.0,0.0
AHL,2017/18,2017,2021.0,-4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,8.977279354213003,4.47,11.33,1623.0,2175.0,1444.0,0.0,0.0,0.0
AHL,2018/19,2018,2021.0,-3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,7.622376107681873,4.15,12.47,2019.0,2582.0,1508.0,0.0,0.0,0.0
AHL,2019/20,2019,2021.0,-2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,6.657055991898845,4.64,12.134092700177552,2033.0,2813.0,1320.0,0.0,0.0,0.0
AHL,2020/21,2020,2021.0,-1.0,0,0.0,51997.399,51997.399,0.0,339515.196,0.0,0.0,0.0,339515.196,-287517.797,,,0.7590167424787383,6.950120592768122,0.0420956899913273,0.1746830482097426,0.0,0.0,,,0.0,0.0,,,,6.2,2076.0,36.0,4.8,8.4,0.0,-2.3696213419770182,6.15,10.109165203675886,2836.0,1729.0,1408.0,51997.399,0.0,937334.176
AHL,2021/22,2021,2021.0,0.0,1,98366.499,122816.746,26747.989,0.0,-340920.002,32511.932,63556.825,0.0,-1404.8059999999969,496248.68,1.2485627449239605,0.2719217342481611,0.7822449954785976,0.9835811500064984,0.01872295864206,0.0859817607562952,0.0688542190046974,0.5174931519517705,,1.3619786443548842,0.0,-287517.797,,,,6.2,2076.0,36.0,4.8,8.4,0.3018562472381794,4.8381498272749335,3.6,8.434801897175857,3093.0,2806.0,1482.0,59259.921,0.0,0.0
AHL,2022/23,2022,2021.0,1.0,1,148794.748,118579.605,-42276.723,0.0,18996.322,45967.449,114888.879,0.0,17591.516000000003,145550.73200000002,0.7969340759258519,-0.2841277905857268,0.7257927682008299,1.2340885469346743,-0.0303442598611215,-0.1106617781814948,0.1067979298982584,0.9688755414558852,0.5126567430238622,-0.0344997008795527,98366.499,496248.68,,,,6.2,2076.0,36.0,4.8,8.4,0.4566048878087101,5.63131455833327,6.32,11.620299693912472,4286.0,1543.0,1748.0,3690.7260000000015,1122000.0,1011184.378
AHL,2023/24,2023,2021.0,2.0,1,130527.704,98715.722,-55807.165,0.0,-52225.765000000014,46301.25,108221.637,0.0,-34634.24900000001,197242.737,0.7562817622226772,-0.427550345940353,0.7589187942819527,0.7211062216338604,-0.0412412379791572,-0.1710678269437158,0.0964593722604794,1.0962958564999403,-0.1227667256105033,-0.167515172613368,148794.748,145550.73200000002,0.5126567430238622,,0.9339261943574964,6.2,2076.0,36.0,4.8,8.4,0.4005490008346835,1.952544632643292,7.74,12.2968211469067,5118.0,1833.0,1870.0,-9505.915,1769019.9999999998,1026960.112
